Sym,Issuer Name,Cl,%,rev_growth,gross_margin,ps_ratio,market_cap,sector,per,pbr
TSLA,Tesla Inc,COMMON STOCK,8.2%,0.158,0.19065,16.13888,1579657461760.0,Consumer Cyclical,385.87155,19.20811
AMD,Advanced Micro Devices Inc,COMMON STOCK,4.3%,0.378,0.5306,25.290546,947232112640.0,Technology,192.3543,14.689103
SHOP,Shopify Inc,COMMON STOCK,3.9%,0.343,0.4797,11.981741,148166213632.0,Technology,111.94118,11.881374
PLTR,Palantir Technologies Inc,COMMON STOCK,3.5%,0.847,0.84073997,53.538486,279694376960.0,Technology,131.08989,33.09787
HOOD,Robinhood Markets Inc,COMMON STOCK,3.2%,0.151,0.92239,19.575687,90302652416.0,Financial Services,48.67961,9.698259
COIN,Coinbase Global Inc,COMMON STOCK,3.2%,-0.308,0.85475,6.127195,38515331072.0,Financial Services,53.746323,2.856557
TER,Teradyne Inc,COMMON STOCK,2.9%,0.87,0.58702,20.001213,75741356032.0,Technology,90.10056,24.092018
ROKU,Roku Inc,COMMON STOCK,2.8%,0.224,0.44192,4.1269073,20491984896.0,Communication Services,102.32592,7.6324654
AMZN,Amazon.com Inc,COMMON STOCK,2.2%,0.166,0.50604,3.451713,2563849584640.0,Consumer Cyclical,31.652058,5.8000145
KTOS,Kratos Defense & Security Solutions Inc.,COMMON STOCK,1.9%,0.226,0.22886999,6.606661,9349746688.0,Industrials,293.29413,2.740012
DE,Deere & Co,COMMON STOCK,1.7%,-0.111,0.25965,3.6172426,171229413376.0,Industrials,35.8987,6.247895
GOOG,Alphabet Inc,COMMON STOCK,1.6%,0.218,0.60368,10.2048645,4311534796800.0,Communication Services,26.951181,8.941894
NVDA,NVIDIA Corp,COMMON STOCK,1.4%,0.852,0.74144995,19.118547,4846379859968.0,Technology,30.68865,24.7943
ILMN,Illumina Inc,COMMON STOCK,1.1%,0.048,0.6829,6.055789,26603079680.0,Healthcare,31.969091,9.987504
LHX,L3Harris Technologies Inc,COMMON STOCK,1.0%,1.9,0.30414,4.210909,54135447552.0,Industrials,31.551575,2.8272736
BWXT,BWX Technologies Inc,COMMON STOCK,1.0%,0.261,0.22658001,5.281624,17832790016.0,Industrials,51.906666,13.927446
AVGO,Broadcom Inc,COMMON STOCK,1.0%,0.479,0.76284,23.814695,1797175902208.0,Technology,62.853577,20.496473
VCYT,Veracyte Inc,COMMON STOCK,0.8%,0.215,0.72906995,8.650269,4686222336.0,Healthcare,54.379627,3.5589623
META,Meta Platforms Inc,COMMON STOCK,0.7%,0.331,0.81941,6.6516953,1429868380160.0,Communication Services,20.490723,5.8668094
TRMB,Trimble Inc,COMMON STOCK,0.6%,0.118,0.71480006,3.2362196,11930647552.0,Technology,26.795813,2.103576
SOFI,SoFi Technologies Inc,COMMON STOCK,0.5%,0.425,0.83507,5.8846054,22999549952.0,Financial Services,39.844444,2.1251628
DASH,DoorDash Inc,COMMON STOCK,0.4%,0.331,0.51763,5.461801,80403177472.0,Consumer Cyclical,87.87143,7.888594
ESLT.TA,Elbit Systems Ltd,COMMON STOCK,0.4%,0.155,0.24697,12.862219,105877561344.0,Industrials,61.346363,24.656878
TOST,Toast Inc,COMMON STOCK,0.4%,0.219,0.26357,2.5031958,16135600128.0,Technology,41.52239,8.108423
IRDM,Iridium Communications Inc,COMMON STOCK,0.4%,0.019,0.7157,6.635589,5811701248.0,Communication Services,55.404037,12.38149
CAT,Caterpillar Inc,COMMON STOCK,0.3%,0.222,0.28601998,6.932152,490484400128.0,Industrials,52.901146,26.286688
MELI,MercadoLibre Inc,COMMON STOCK,0.3%,0.49,0.49473,2.7058105,86052896768.0,Consumer Cyclical,44.84518,11.818865
CCO.TO,Cameco Corp,COMMON STOCK,0.3%,0.071,0.36782002,17.796223,62960648192.0,Energy,97.020134,8.912454
SPOT,Spotify Technology SA,COMMON STOCK,0.3%,0.082,0.32318002,5.3857236,94406344704.0,Communication Services,31.254597,10.349634
ISRG,Intuitive Surgical Inc,COMMON STOCK,0.2%,0.23,0.66292,13.309597,140843483136.0,Healthcare,48.320778,8.065386
TDY,Teledyne Technologies Inc,COMMON STOCK,0.2%,0.076,0.42873,4.9628797,30896902144.0,Technology,33.784195,2.9295614
SNPS,Synopsys Inc,COMMON STOCK,0.2%,0.419,0.82598996,9.840932,85413183488.0,Technology,102.075516,2.8019297
DKNG,DraftKings Inc,COMMON STOCK,0.2%,0.168,0.76703,1.9918346,12532214784.0,Consumer Cyclical,280.66666,20.704918
DDOG,Datadog Inc,COMMON STOCK,0.2%,0.322,0.79906,25.238836,92677791744.0,Technology,667.5897,23.229834
NFLX,Netflix Inc,COMMON STOCK,0.2%,0.162,0.49029,6.4118376,300651020288.0,Communication Services,23.032259,9.6630125
ABNB,Airbnb Inc,COMMON STOCK,0.2%,0.179,0.82913,6.7154703,84930551808.0,Consumer Cyclical,35.333332,11.150071
NU,NU Holdings Ltd,COMMON STOCK,0.1%,0.437,0.0,8.553168,64952860672.0,Financial Services,20.553846,5.1602936
GRMN,Garmin Ltd,COMMON STOCK,0.1%,0.142,0.59139,6.1376767,45811060736.0,Technology,26.51116,4.9424686
HEI,HEICO Corp,COMMON STOCK,0.1%,0.253,0.40060002,10.128737,49745240064.0,Industrials,63.71914,10.409434
LLY,Eli Lilly & Co,COMMON STOCK,0.1%,0.555,0.82832,14.8041,1069581402112.0,Healthcare,42.54807,34.35089
ETOR,Etoro Group Ltd,COMMON STOCK,0.1%,-0.356,0.03273,0.25361657,3138934272.0,Financial Services,16.445833,2.4118547
HON,Honeywell International Inc,COMMON STOCK,0.1%,0.024,0.36925,1.883629,70937468928.0,Industrials,17.883385,5.219844
LMT,Lockheed Martin Corp,COMMON STOCK,0.1%,0.003,0.09906,1.5639621,117462941696.0,Industrials,24.695105,15.646325
Z,Zillow Group Inc,COMMON STOCK,0.1%,0.184,0.73337996,2.6779923,7211833344.0,Communication Services,126.08,1.551792
ICE,Intercontinental Exchange Inc,COMMON STOCK,0.0%,0.204,1.0,6.671801,69620244480.0,Financial Services,17.919943,2.363818
TSEM,Tower Semiconductor Ltd,COMMON STOCK,0.0%,0.155,0.24768,19.125536,31013300224.0,Technology,120.66667,9.864881
ADSK,Autodesk Inc,COMMON STOCK,0.0%,0.184,0.92434,5.468344,41050857472.0,Technology,28.423975,12.86357
PTC,PTC Inc,COMMON STOCK,0.0%,0.217,0.84713,4.377327,13122613248.0,Technology,10.924039,3.3995633
PRLB,Proto Labs Inc,COMMON STOCK,0.0%,0.104,0.44856,3.5504334,1939452544.0,Industrials,76.89623,2.8388827
ITRN,Ituran Location and Control Ltd,COMMON STOCK,0.0%,0.188,0.4957,3.2160904,1206786432.0,Technology,20.069078,5.825456
RDWR,Radware Ltd,COMMON STOCK,0.0%,0.107,0.80658996,4.194101,1298665600.0,Technology,70.13637,4.040854
MSFT,Microsoft Corp,COMMON STOCK,0.0%,0.183,0.68309,8.70622,2770954616832.0,Technology,22.190363,6.6877027
HPQ,HP Inc,COMMON STOCK,0.0%,0.09,0.20315,0.3494545,20064628736.0,Technology,8.125926,-139.74522
CAMT,Camtek Ltd,COMMON STOCK,0.0%,0.025,0.50969005,15.248884,7610611200.0,Technology,166.44897,11.004519
CGEN,Compugen Ltd,COMMON STOCK,0.0%,-0.047,0.8806,2.7858832,202411136.0,Healthcare,5.6315794,2.1230159
KMDA.TA,Kamada Ltd,COMMON STOCK,0.0%,0.028,0.41157,6.941782,1261196800.0,Healthcare,21.019232,4.861018
NVMI,Nova Ltd,COMMON STOCK,0.0%,0.103,0.57310003,19.13383,17268836352.0,Technology,68.0376,13.0892
INMD,Inmode Ltd,COMMON STOCK,0.0%,0.053,0.77838,2.243149,840368896.0,Healthcare,10.829629,1.355838
AUDC,AudioCodes Ltd,COMMON STOCK,0.0%,0.029,0.65336,0.9960303,246390992.0,Technology,40.333336,1.6626589
NYAX.TA,Nayax Ltd,COMMON STOCK,0.0%,0.317,0.48181,16.979738,7236407808.0,Technology,81.344536,30.72528
RDCM,RADCOM Ltd,COMMON STOCK,0.0%,0.12,0.76558995,3.21156,236011120.0,Communication Services,19.054054,1.9825647
GILT,Gilat Satellite Networks Ltd,COMMON STOCK,0.0%,0.2,0.30333,2.1368456,1004518272.0,Technology,25.596155,1.850153
PANW,Palo Alto Networks Inc,COMMON STOCK,0.0%,0.311,0.71963996,26.203865,277931294720.0,Technology,293.98276,10.020568
CLBT,Cellebrite DI Ltd,COMMON STOCK,0.0%,0.193,0.83864,7.3360662,3641821440.0,Technology,52.142857,7.049734
DDD,3D Systems Corp,COMMON STOCK,0.0%,0.011,0.34433997,1.2716893,493288288.0,Technology,6.8636365,1.8827931
TATT,TAT Technologies Ltd,COMMON STOCK,0.0%,-0.024,0.24955,3.5373218,626176704.0,Industrials,37.387596,3.4695346
CHKP,Check Point Software Technologies Ltd,COMMON STOCK,0.0%,0.048,0.87663,4.9609485,13672374272.0,Technology,13.521604,4.8895087
TBLA,Taboola.com Ltd,COMMON STOCK,0.0%,0.091,0.29718,0.7004933,1366621696.0,Communication Services,13.888888,1.4297969
ALLT,Allot Ltd,COMMON STOCK,0.0%,0.141,0.71480006,4.1130204,432969440.0,Technology,68.07693,3.742072
FVRR,Fiverr International Ltd,COMMON STOCK,0.0%,-0.016,0.81852996,0.8643934,371011488.0,Communication Services,13.402597,0.8824284
MOG-A,Moog Inc,COMMON STOCK,0.0%,0.126,0.2727,3.219442,13428334592.0,Industrials,47.837475,6.3872685
MNDY,Monday.com Ltd,COMMON STOCK,0.0%,0.245,0.89053,2.8683906,3731810560.0,Technology,31.611355,4.5816455
